Fold,Accuracy,Precision,Recall,F1-score,Eval_Time,F1_Black,F1_Blue,F1_Green,F1_TTR
1,0.8615040953090097,0.8561959493155487,0.8522240878849614,0.8526983510245487,73.9885470867157,0.7625615763546798,0.887620719929763,0.8997240110395585,0.8608870967741935
2,0.8767684288905435,0.8748092879847237,0.8724834810908062,0.8734355715559645,72.04674363136292,0.8065395095367848,0.8905693950177936,0.9169741697416974,0.8796592119275826
3,0.8756515264333582,0.8749023222838768,0.8696712212963998,0.8722034624784447,75.94096636772156,0.7937956204379562,0.8904593639575972,0.924812030075188,0.879746835443038
4,0.8663440059568132,0.8688147482982166,0.8562435225773575,0.8621584861846422,73.21647524833679,0.7757009345794392,0.8827106863596872,0.9132507149666349,0.8769716088328076
5,0.8618763961280714,0.8605314059774803,0.8505662317909125,0.8544878804952172,77.60104846954346,0.7577519379844961,0.8851174934725848,0.8986301369863013,0.8764519535374868
